Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: WGTP
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California","888","622","572","664","636","452","272","177","216","299"
"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California","1032","783","905","884","856","699","413","294","481","335"
"Los Angeles County (Central)--Pasadena City PUMA, California","1189","876","1459","1338","1225","735","719","539","356","1191"
"Los Angeles County (Central)--Glendale City PUMA, California","1158","1139","1240","1469","1117","914","760","613","763","736"
"Los Angeles County (Central)--Burbank City PUMA, California","748","787","1562","1122","1044","741","551","442","285","779"
"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California","1150","1261","1443","1431","983","857","783","693","606","1049"
"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California","1189","1148","1249","1118","1015","949","815","555","711","106"
"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California","976","880","917","815","852","535","528","371","451","133"
"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California","853","753","932","952","644","694","375","379","499","834"
"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California","1189","851","1217","1037","964","635","452","373","605","659"
"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California","694","856","908","628","1004","384","185","73","24","724"
"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California","756","426","1479","1362","808","626","413","324","262","1363"
"Los Angeles County (Southwest)--Santa Monica City PUMA, California","1284","1289","1924","1778","1367","1132","721","557","867","1170"
"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California","1351","1010","1966","1805","1221","861","632","414","768","298"
"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California","1424","1144","1669","1624","1373","870","735","623","608","480"
"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California","1097","729","1933","1814","1231","992","947","724","468","338"
"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California","1298","1284","1626","1603","1131","940","783","688","560","477"
"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California","1250","1324","1506","1438","1310","1199","1088","896","807","270"
"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California","1009","1017","1305","1273","1062","889","673","607","493","249"
"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California","736","713","1026","995","789","490","318","386","188","327"
"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California","991","1429","956","1293","1060","528","636","576","244","574"
"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California","956","779","909","923","807","542","476","333","181","497"
"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California","920","980","868","821","912","720","486","485","452","272"
"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California","660","555","656","566","583","330","252","374","296","295"
"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California","595","684","606","696","792","455","307","177","294","106"
"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California","1126","1016","1004","1033","916","852","710","668","446","592"
"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California","855","894","781","731","880","595","487","566","466","774"
"Los Angeles County (Central)--East Los Angeles PUMA, California","790","791","685","770","846","614","559","210","197","168"
"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California","1076","1001","1500","1442","1140","913","629","566","510","333"
"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California","1000","893","911","1026","795","762","743","504","401","537"
"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California","1022","985","1268","1011","884","646","627","451","466","339"
"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California","967","714","928","986","742","557","550","606","182","95"
"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California","943","1039","1862","1734","992","1140","525","169","528","737"
"Los Angeles County (Central)--Inglewood City PUMA, California","1042","1007","1108","1015","942","855","564","766","541","112"
"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California","851","784","712","824","637","577","457","388","189","39"
"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California","945","859","741","823","779","663","468","365","150","315"
"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California","935","760","680","749","661","619","466","329","113","343"
"Los Angeles County (South)--Downey City PUMA, California","1017","1032","971","982","926","724","524","331","224","255"
"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California","496","654","725","533","505","523","223","236","190","73"
"Los Angeles County (Southeast)--Norwalk City PUMA, California","816","628","518","674","586","396","321","296","151","281"
"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California","991","963","1028","1046","960","734","745","823","452","115"
"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California","558","564","400","382","526","326","259","193","373","75"
"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California","908","913","986","922","892","647","624","325","763","238"
"Los Angeles County (South Central)--Hawthorne City PUMA, California","1192","1141","931","1146","996","759","493","466","240","0"
"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California","1210","884","1508","1581","1040","718","525","339","461","0"
"Los Angeles County (South Central)--Torrance City PUMA, California","1156","898","974","1131","1050","849","511","302","124","363"
"Los Angeles County (South Central)--Carson City PUMA, California","518","633","508","372","539","442","236","205","199","219"
"Los Angeles County (South Central)--Long Beach City (North) PUMA, California","830","847","800","822","795","549","322","205","348","53"
"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California","881","640","812","860","786","515","269","219","184","442"
"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California","1141","659","1189","1388","715","610","461","133","211","68"
"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California","1079","1006","1124","1183","1048","785","623","305","492","240"
"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California","1083","773","1012","920","744","657","480","336","419","93"
"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California","672","936","667","854","635","651","399","243","153","312"
"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California","1255","1280","1266","1021","1076","852","705","861","274","995"
