Source: ACS 1-Year Estimates Public Use Microdata Sample 2016
Weight used: WGTP
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California","632","423","663","400","407","356","226","138","128","0"
"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California","856","959","797","839","775","525","428","301","507","792"
"Los Angeles County (Central)--Pasadena City PUMA, California","1028","976","1484","1051","968","662","428","342","604","641"
"Los Angeles County (Central)--Glendale City PUMA, California","953","923","1323","1212","911","949","713","696","646","577"
"Los Angeles County (Central)--Burbank City PUMA, California","1099","833","1363","1141","1064","497","672","400","474","373"
"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California","901","977","1222","1031","956","831","649","528","691","445"
"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California","1041","953","1141","1066","921","759","689","605","461","502"
"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California","903","728","744","819","750","528","414","294","141","452"
"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California","587","737","832","899","733","563","468","469","328","96"
"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California","914","732","1151","1097","755","639","512","455","201","316"
"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California","766","786","1020","1150","640","430","208","223","179","40"
"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California","842","597","1501","1107","838","517","346","343","381","376"
"Los Angeles County (Southwest)--Santa Monica City PUMA, California","1012","1317","1709","1762","1084","852","756","443","594","558"
"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California","1152","856","1946","1584","1108","941","848","474","622","420"
"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California","1251","786","1570","1419","1084","920","740","647","602","307"
"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California","984","968","1687","1454","1137","947","825","683","653","476"
"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California","1056","1096","1392","1320","1012","869","735","604","683","647"
"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California","1165","1186","1472","1226","1159","1179","1161","889","720","1729"
"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California","910","906","1300","1260","901","837","625","505","483","294"
"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California","822","805","860","849","653","515","326","413","277","272"
"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California","916","989","884","1125","710","666","459","450","360","612"
"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California","884","932","1018","915","929","624","509","548","273","68"
"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California","752","753","695","817","620","548","345","251","206","210"
"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California","591","514","715","599","422","344","206","164","29","447"
"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California","665","691","572","810","585","382","361","254","141","186"
"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California","938","983","881","911","895","769","542","422","341","369"
"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California","774","784","619","684","755","463","475","394","181","329"
"Los Angeles County (Central)--East Los Angeles PUMA, California","841","1001","695","848","793","608","489","402","346","178"
"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California","910","1007","1279","1475","953","871","576","561","498","925"
"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California","904","774","779","806","827","599","398","273","252","127"
"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California","894","803","1065","747","678","691","697","505","391","446"
"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California","813","840","946","898","744","580","436","390","421","191"
"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California","1178","821","1588","1453","1223","934","496","399","348","1054"
"Los Angeles County (Central)--Inglewood City PUMA, California","831","969","905","786","938","690","592","440","528","0"
"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California","929","795","749","655","750","508","424","356","368","39"
"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California","852","765","838","772","745","633","549","483","259","176"
"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California","722","660","556","637","701","478","306","319","466","270"
"Los Angeles County (South)--Downey City PUMA, California","789","871","699","952","735","474","448","204","237","808"
"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California","477","496","496","533","311","396","283","298","188","211"
"Los Angeles County (Southeast)--Norwalk City PUMA, California","551","555","521","671","424","347","339","225","141","0"
"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California","970","933","858","1004","864","621","518","431","455","0"
"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California","577","663","716","473","548","538","383","145","309","85"
"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California","806","862","857","888","745","681","506","409","240","36"
"Los Angeles County (South Central)--Hawthorne City PUMA, California","1073","1004","961","1092","708","784","844","419","797","111"
"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California","833","980","1429","1347","957","794","459","158","146","447"
"Los Angeles County (South Central)--Torrance City PUMA, California","1007","754","1120","939","973","637","569","142","323","151"
"Los Angeles County (South Central)--Carson City PUMA, California","751","464","588","541","461","445","108","46","68","0"
"Los Angeles County (South Central)--Long Beach City (North) PUMA, California","826","765","739","780","725","615","450","433","331","670"
"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California","847","693","532","854","531","339","226","184","108","385"
"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California","796","587","1128","1120","678","431","328","198","213","154"
"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California","797","763","811","778","809","626","512","343","237","1051"
"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California","799","824","915","784","795","629","569","518","288","425"
"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California","1101","508","824","886","736","555","182","155","223","239"
"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California","1080","1075","1092","1069","978","714","521","761","775","620"
