Source: ACS 1-Year Estimates Public Use Microdata Sample 2016,,,,,,,,,,
Weight used: WGTP,,,,,,,,,,
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea...",,,,,,,,,,
,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)",,,,,,,,,
"Los Angeles County (Central)--Pasadena City PUMA, California",504,514,930,932,1117,761,1044,1055,738,1152
"Los Angeles County (Central)--Glendale City PUMA, California",616,555,959,1029,949,1005,847,414,1016,928
"Los Angeles County (Central)--Burbank City PUMA, California",349,254,731,927,750,956,661,696,863,1142
"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California",804,277,1279,1159,856,961,953,875,734,1116
"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California",751,849,1033,987,1003,729,415,242,838,1056
"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California",389,1048,662,866,587,302,91,801,864,777
"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California",177,818,430,859,837,829,425,499,837,840
"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California",209,1608,1034,865,653,700,743,444,885,792
"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California",290,482,1405,703,289,747,664,217,301,565
"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California",349,508,1207,1103,947,975,1032,716,965,1203
"Los Angeles County (Southwest)--Santa Monica City PUMA, California",967,191,1582,922,1331,1432,1419,1479,774,997
"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California",925,993,1503,1213,1290,1296,1493,991,1348,1163
"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California",801,1006,1140,1164,1504,1455,1509,1260,844,1318
"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California",710,654,720,1066,1612,1417,1217,648,1095,1368
"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California",378,728,1246,1046,1302,1357,969,1380,819,1096
"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California",1619,1020,1549,1022,1166,1286,1119,1325,858,1082
"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California",874,455,959,882,1091,1075,1101,1014,758,1003
"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California",186,305,494,614,679,613,447,269,640,648
"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California",311,380,834,948,931,830,648,732,875,816
"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California",504,301,1046,767,433,339,262,0,591,639
"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California",212,265,506,763,742,499,307,267,673,671
"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California",319,620,410,492,493,360,202,150,565,580
"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California",118,401,0,593,540,365,104,516,534,655
"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California",2187,323,475,829,799,394,639,769,719,913
"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California",317,341,1142,692,655,460,277,0,656,647
"Los Angeles County (Central)--East Los Angeles PUMA, California",0,352,932,754,514,556,427,48,635,690
"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California",1530,680,1942,910,1180,1222,1392,881,588,993
"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California",888,195,568,736,661,687,380,0,614,749
"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",798,835,1771,844,748,786,712,156,828,923
"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California",208,416,852,866,599,779,475,734,719,803
"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",1008,728,1771,910,969,1402,1094,1038,705,1211
"Los Angeles County (Central)--Inglewood City PUMA, California",325,444,767,886,766,636,644,407,815,769
"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California",385,325,746,682,365,355,297,129,607,447
"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California",0,266,715,777,472,402,0,0,756,539
"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California",525,330,234,729,354,497,417,0,752,619
"Los Angeles County (South)--Downey City PUMA, California",0,126,1000,692,988,838,351,686,692,844
"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California",176,0,0,732,677,317,189,65,654,536
"Los Angeles County (Southeast)--Norwalk City PUMA, California",200,735,462,715,299,347,466,0,653,452
"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California",248,791,0,750,817,634,195,0,761,819
"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California",0,250,560,645,210,331,240,210,715,478
"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California",794,824,904,720,707,410,547,181,720,766
"Los Angeles County (South Central)--Hawthorne City PUMA, California",188,511,854,818,712,707,390,332,758,960
"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California",460,705,751,785,1020,1100,1232,789,795,1008
"Los Angeles County (South Central)--Torrance City PUMA, California",306,511,1777,950,894,728,968,423,781,767
"Los Angeles County (South Central)--Carson City PUMA, California",67,0,467,243,508,488,220,311,495,455
"Los Angeles County (South Central)--Long Beach City (North) PUMA, California",120,862,518,785,632,511,256,89,868,684
"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California",39,891,661,745,483,377,491,226,551,587
"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California",502,620,1024,907,770,627,578,427,676,636
"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California",458,947,815,810,828,960,650,1237,779,868
"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California",209,313,768,698,777,735,357,780,673,841
"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California",345,427,869,825,612,515,550,393,904,505
"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California",903,476,1340,929,1025,806,1039,104,838,974
