Source: ACS 1-Year Estimates Public Use Microdata Sample 2017,,,,,,,,,,
Weight used: WGTP,,,,,,,,,,
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea...",,,,,,,,,,
,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)",,,,,,,,,
"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California",0,498,564,717,628,466,540,157,761,653
"Los Angeles County (Central)--East Los Angeles PUMA, California",0,445,880,792,635,685,240,0,551,860
"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California",2067,1041,1429,881,846,1170,1970,2082,610,1133
"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California",816,589,959,751,783,677,382,325,689,809
"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California",424,525,1209,917,695,598,694,298,796,1001
"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California",274,370,821,928,716,533,473,259,690,850
"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California",856,1018,1342,900,1315,1376,1215,1311,1166,1148
"Los Angeles County (Central)--Inglewood City PUMA, California",771,161,1824,947,791,666,666,300,730,726
"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California",0,267,55,678,543,587,444,160,627,761
"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California",0,377,974,739,540,715,213,570,698,731
"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California",0,317,642,803,600,247,362,387,682,663
"Los Angeles County (South)--Downey City PUMA, California",128,491,436,719,865,502,762,423,674,890
"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California",0,894,269,465,391,466,263,228,434,512
"Los Angeles County (Southeast)--Norwalk City PUMA, California",87,865,0,462,412,401,266,227,648,724
"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California",1152,1089,1000,816,781,792,805,310,793,1034
"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California",517,273,635,774,411,350,224,0,610,403
"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California",394,605,868,855,838,443,419,400,635,871
"Los Angeles County (South Central)--Hawthorne City PUMA, California",89,575,399,909,821,1033,869,679,861,972
"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California",617,555,0,736,1239,1161,1191,1021,853,1005
"Los Angeles County (South Central)--Torrance City PUMA, California",401,492,1299,799,616,1056,725,521,504,662
"Los Angeles County (South Central)--Carson City PUMA, California",19,207,0,466,406,256,324,0,328,557
"Los Angeles County (South Central)--Long Beach City (North) PUMA, California",457,196,440,775,669,553,297,254,807,863
"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California",222,1218,0,602,833,430,394,295,244,638
"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California",189,850,1211,779,803,644,788,504,805,911
"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California",470,443,1121,784,993,634,537,216,656,908
"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California",628,571,750,839,776,664,618,567,660,791
"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California",395,348,0,585,702,704,321,411,330,847
"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California",0,609,1183,1027,878,971,828,622,982,1034
