Source: ACS 1-Year Estimates Public Use Microdata Sample 2018
Weight used: WGTP
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea..."
"","Age recode (AGEP_RC1)","","","","","","","","",""
"Los Angeles County (East Central)--La Puente & Industry Cities PUMA, California","515","535","415","470","380","440","286","202","30","80"
"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California","956","699","792","965","756","511","335","278","471","195"
"Los Angeles County (Central)--Pasadena City PUMA, California","1005","764","1344","1255","779","842","634","304","600","421"
"Los Angeles County (Central)--Glendale City PUMA, California","1140","1121","1263","1316","1052","942","793","835","938","516"
"Los Angeles County (Central)--Burbank City PUMA, California","843","858","1145","1204","821","852","505","331","278","963"
"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California","861","1051","1320","1175","1095","855","686","480","500","334"
"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California","1098","982","1244","1058","943","855","655","458","1020","703"
"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California","921","964","883","1010","853","637","398","307","97","528"
"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California","756","909","1017","976","855","613","672","384","670","296"
"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California","892","865","1324","1052","868","550","481","408","249","782"
"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California","959","594","786","852","448","250","342","96","62","149"
"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California","893","456","1540","1410","907","695","531","327","237","1194"
"Los Angeles County (Southwest)--Santa Monica City PUMA, California","1409","939","1789","1853","1352","1110","636","601","1121","933"
"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California","1260","1096","1811","1638","1334","1012","866","571","314","651"
"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California","1413","1325","1561","1549","1359","869","877","539","508","229"
"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California","807","1359","1774","1660","1157","917","666","553","500","233"
"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California","1037","1155","1506","1426","1206","982","787","678","745","351"
"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California","1212","1081","1408","1302","1142","1153","937","972","750","835"
"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California","1023","851","1275","1322","987","797","710","442","488","462"
"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California","801","791","842","829","710","431","467","360","335","241"
"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California","1068","1038","1288","1299","1020","734","632","405","493","251"
"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California","920","841","981","885","828","703","483","459","490","258"
"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California","807","866","830","821","783","617","444","390","385","483"
"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California","543","465","448","631","505","260","345","212","249","203"
"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California","784","815","718","695","574","490","447","198","201","102"
"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California","985","951","883","872","973","841","651","351","276","434"
"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California","917","856","766","798","751","646","530","316","258","616"
"Los Angeles County (Central)--East Los Angeles PUMA, California","899","891","827","813","755","579","441","504","181","118"
"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California","1032","937","1313","1368","1055","840","676","540","445","632"
"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California","975","934","922","980","899","741","613","460","455","0"
"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California","1068","953","1315","1109","754","707","610","549","348","362"
"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California","791","757","900","864","691","606","499","448","325","366"
"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California","1020","598","1660","1476","1080","1061","510","617","988","349"
"Los Angeles County (Central)--Inglewood City PUMA, California","1199","843","1014","1057","891","755","463","730","232","1051"
"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California","882","823","638","797","729","534","474","246","361","15"
"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California","919","940","789","849","803","692","499","355","132","284"
"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California","668","711","678","606","647","587","340","323","169","663"
"Los Angeles County (South)--Downey City PUMA, California","1093","992","758","870","1027","616","586","363","226","204"
"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California","611","541","578","423","524","309","324","235","229","419"
"Los Angeles County (Southeast)--Norwalk City PUMA, California","590","538","682","514","488","399","321","112","157","193"
"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California","863","910","928","894","830","718","516","499","263","100"
"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California","667","653","499","558","514","298","345","304","112","1"
"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California","1001","897","880","987","803","676","493","261","286","220"
"Los Angeles County (South Central)--Hawthorne City PUMA, California","1034","899","953","978","869","755","665","523","284","659"
"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California","1300","706","1696","1583","911","629","559","252","149","302"
"Los Angeles County (South Central)--Torrance City PUMA, California","1150","786","1156","1032","976","528","522","445","474","421"
"Los Angeles County (South Central)--Carson City PUMA, California","811","695","335","622","697","260","265","279","204","217"
"Los Angeles County (South Central)--Long Beach City (North) PUMA, California","693","684","686","660","642","505","575","290","429","292"
"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California","770","595","731","824","734","412","340","106","127","42"
"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California","650","594","839","907","681","300","278","133","100","0"
"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California","967","997","1079","884","988","656","876","559","1127","1215"
"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California","928","888","914","865","780","729","469","390","278","70"
"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California","869","941","787","787","954","595","375","244","327","299"
"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California","1152","1272","1249","1065","1272","764","677","411","398","572"
