Source: ACS 1-Year Estimates Public Use Microdata Sample 2017
Weight used: WGTP
"Universe: selected geographies: Los Angeles County (North/U..., Los Angeles County (Northwe..., Los Angeles County (North C..., Los Angeles County (North C..., Los Angeles County (North)-..., Los Angeles County (North)-..., Los Angeles County--LA (Nor..., Los Angeles County (North)-..., Los Angeles County (Central..., Los Angeles County--Baldwin..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County--Diamond..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (East Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County (North)-..., Los Angeles County (Northwe..., Los Angeles County--LA City..., Los Angeles County--Calabas..., Los Angeles County (Central..., Los Angeles County (Southwe..., Los Angeles County (West Ce..., Los Angeles County (West Ce..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Southea..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County (Central..., Los Angeles County--LA City..., Los Angeles County (Central..., Los Angeles County--LA (Sou..., Los Angeles County (Central..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (Southea..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County--Redondo..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South C..., Los Angeles County (South)-..., Los Angeles County (Southea..., Los Angeles County (South)-..., Los Angeles County (South)-..., Los Angeles County (Southwe..., Los Angeles County (Southea..."
"","Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars) recode (HINCP_RC1)","","","","","","","","",""
"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA; California","4","0","2","2","3","3","3","4","2","3"
"Los Angeles County (Central)--Pasadena City PUMA, California","3","0","2","2","2","3","3","3","2","2"
"Los Angeles County (Central)--Glendale City PUMA, California","4","0","1","3","3","3","3","3","2","3"
"Los Angeles County (Central)--Burbank City PUMA, California","3","0","1","2","2","3","3","3","2","2"
"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA, California","4","0","1","2","2","3","3","3","2","3"
"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, California","3","0","1","2","3","3","3","3","2","2"
"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA, California","4","0","2","3","4","4","5","4","2","3"
"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA, California","4","0","1","2","3","3","3","3","2","3"
"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA; California","3","0","1","2","2","3","3","3","2","2"
"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA; California","3","0","2","2","2","2","3","3","1","2"
"Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA, California","3","0","1","2","2","2","2","2","1","2"
"Los Angeles County (Southwest)--Santa Monica City PUMA, California","2","0","1","2","2","2","2","2","2","2"
"Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA, California","3","0","1","2","2","2","2","3","2","2"
"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA, California","3","0","2","2","2","2","2","3","1","2"
"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA, California","2","0","1","2","2","2","2","2","1","2"
"Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA, California","2","0","1","2","2","3","2","2","1","2"
"Los Angeles County (Central)--LA City (Central/Koreatown) PUMA, California","3","0","1","2","3","3","3","3","2","3"
"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA; California","3","0","2","3","3","3","3","3","2","2"
"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA; California","3","0","2","3","3","3","4","4","2","3"
"Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA, California","3","0","1","3","3","2","3","3","2","3"
"Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA, California","4","0","2","3","3","4","4","4","2","3"
"Los Angeles County (Central)--El Monte & South El Monte Cities PUMA, California","5","0","1","3","4","5","5","4","3","4"
"Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA, California","3","0","3","3","3","3","3","4","2","3"
"Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA, California","4","0","2","2","3","4","4","4","2","3"
"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA; California","3","0","1","3","4","4","6","5","3","4"
"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA; California","5","0","2","4","5","5","6","7","3","4"
"Los Angeles County (Central)--East Los Angeles PUMA, California","5","0","2","3","4","4","6","4","2","4"
"Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA, California","2","0","1","2","3","3","2","2","2","3"
"Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA, California","6","0","2","4","5","5","6","6","3","4"
"Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA, California","3","0","2","3","4","4","4","4","2","3"
"Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA, California","3","0","1","2","2","3","3","3","2","3"
"Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, California","2","0","1","2","2","2","2","2","1","2"
"Los Angeles County (Central)--Inglewood City PUMA, California","4","0","4","2","3","3","3","4","2","3"
"Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA, California","2","0","1","3","4","4","5","5","2","3"
"Los Angeles County (South Central)--LA City (South Central/Watts) PUMA, California","1","0","2","3","4","5","5","7","3","4"
"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California","7","0","2","3","4","5","5","5","3","4"
"Los Angeles County (South)--Downey City PUMA, California","3","0","3","2","3","3","3","4","2","3"
"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California","3","0","2","3","3","4","4","4","2","3"
"Los Angeles County (Southeast)--Norwalk City PUMA, California","3","0","2","3","3","4","4","4","2","3"
"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California","5","0","3","3","3","4","4","4","2","3"
"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California","6","0","3","3","4","5","5","4","3","3"
"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California","3","0","1","3","3","3","4","4","2","3"
"Los Angeles County (South Central)--Hawthorne City PUMA, California","4","0","1","3","3","3","4","4","2","3"
"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California","3","0","3","2","2","2","2","3","1","2"
"Los Angeles County (South Central)--Torrance City PUMA, California","3","0","2","2","2","3","3","3","1","2"
"Los Angeles County (South Central)--Carson City PUMA, California","4","0","1","2","3","3","3","4","2","3"
"Los Angeles County (South Central)--Long Beach City (North) PUMA, California","3","0","1","2","3","3","4","3","2","3"
"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California","4","0","2","2","3","3","4","3","2","3"
"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California","3","0","2","2","2","2","3","3","2","2"
"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California","3","0","1","3","3","3","4","5","2","3"
"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California","4","0","1","3","3","3","3","4","2","3"
"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California","3","0","1","2","2","2","2","3","1","2"
"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California","2","0","2","2","2","3","2","2","2","2"
