Year,Average Household Income,Ave People in Household,Ave Rent per Month,County,County Region,Cities
2017,No Income,1,547,Los Angeles,Central,Bell Gardens
2018,1-20000,3,752,Los Angeles,Central,Bell Gardens
2018,120001-160000,5,777,Los Angeles,Central,Bell Gardens
2018,160001-200000,6,201,Los Angeles,Central,Bell Gardens
2018,200000-Max,5,438,Los Angeles,Central,Bell Gardens
2018,20001-40000,3,954,Los Angeles,Central,Bell Gardens
2018,400001-60000,4,874,Los Angeles,Central,Bell Gardens
2018,60001-80000,4,888,Los Angeles,Central,Bell Gardens
2018,80001-120000,4,723,Los Angeles,Central,Bell Gardens
2018,Negative Income,0,316,Los Angeles,Central,Bell Gardens
2018,No Income,2,143,Los Angeles,Central,Bell Gardens
2019,1-20000,2,872,Los Angeles,Central,Bell Gardens
2019,120001-160000,5,570,Los Angeles,Central,Bell Gardens
2019,160001-200000,6,619,Los Angeles,Central,Bell Gardens
2019,200000-Max,7,989,Los Angeles,Central,Bell Gardens
2019,20001-40000,3,938,Los Angeles,Central,Bell Gardens
2019,400001-60000,4,984,Los Angeles,Central,Bell Gardens
2019,60001-80000,4,800,Los Angeles,Central,Bell Gardens
2019,80001-120000,4,923,Los Angeles,Central,Bell Gardens
2019,Negative Income,0,0,Los Angeles,Central,Bell Gardens
2019,No Income,2,1064,Los Angeles,Central,Bell Gardens
2015,1-20000,2,950,Los Angeles,Central,Burbank City
2015,120001-160000,3,769,Los Angeles,Central,Burbank City
2015,160001-200000,3,807,Los Angeles,Central,Burbank City
2015,200000-Max,3,198,Los Angeles,Central,Burbank City
2015,20001-40000,2,1080,Los Angeles,Central,Burbank City
2015,400001-60000,2,992,Los Angeles,Central,Burbank City
2015,60001-80000,2,821,Los Angeles,Central,Burbank City
2015,80001-120000,3,990,Los Angeles,Central,Burbank City
2015,Negative Income,0,553,Los Angeles,Central,Burbank City
2015,No Income,1,1513,Los Angeles,Central,Burbank City
2016,1-20000,2,863,Los Angeles,Central,Burbank City
2016,120001-160000,3,661,Los Angeles,Central,Burbank City
2016,160001-200000,3,696,Los Angeles,Central,Burbank City
2016,200000-Max,3,349,Los Angeles,Central,Burbank City
2016,20001-40000,2,927,Los Angeles,Central,Burbank City
2016,400001-60000,2,1142,Los Angeles,Central,Burbank City
2016,60001-80000,3,750,Los Angeles,Central,Burbank City
2016,80001-120000,2,956,Los Angeles,Central,Burbank City
2016,Negative Income,0,254,Los Angeles,Central,Burbank City
2016,No Income,2,731,Los Angeles,Central,Burbank City
2017,1-20000,2,1035,Los Angeles,Central,Burbank City
2017,120001-160000,3,960,Los Angeles,Central,Burbank City
2017,160001-200000,3,650,Los Angeles,Central,Burbank City
2017,200000-Max,3,630,Los Angeles,Central,Burbank City
2017,20001-40000,2,907,Los Angeles,Central,Burbank City
2017,400001-60000,2,960,Los Angeles,Central,Burbank City
2017,60001-80000,2,937,Los Angeles,Central,Burbank City
2017,80001-120000,3,948,Los Angeles,Central,Burbank City
2017,Negative Income,0,730,Los Angeles,Central,Burbank City
2017,No Income,1,2055,Los Angeles,Central,Burbank City
2018,1-20000,1,711,Los Angeles,Central,Burbank City
2018,120001-160000,2,883,Los Angeles,Central,Burbank City
2018,160001-200000,3,578,Los Angeles,Central,Burbank City
2018,200000-Max,3,1074,Los Angeles,Central,Burbank City
2018,20001-40000,2,947,Los Angeles,Central,Burbank City
2018,400001-60000,2,734,Los Angeles,Central,Burbank City
2018,60001-80000,2,1104,Los Angeles,Central,Burbank City
2018,80001-120000,3,762,Los Angeles,Central,Burbank City
2018,Negative Income,0,935,Los Angeles,Central,Burbank City
2018,No Income,1,1879,Los Angeles,Central,Burbank City
2019,1-20000,1,974,Los Angeles,Central,Burbank City
2019,120001-160000,3,881,Los Angeles,Central,Burbank City
2019,160001-200000,3,810,Los Angeles,Central,Burbank City
2019,200000-Max,3,451,Los Angeles,Central,Burbank City
2019,20001-40000,2,1081,Los Angeles,Central,Burbank City
2019,400001-60000,2,1010,Los Angeles,Central,Burbank City
2019,60001-80000,2,1123,Los Angeles,Central,Burbank City
2019,80001-120000,3,1293,Los Angeles,Central,Burbank City
2019,Negative Income,0,918,Los Angeles,Central,Burbank City
2019,No Income,1,773,Los Angeles,Central,Burbank City
2015,1-20000,3,603,Los Angeles,Central,East Los Angeles
2015,120001-160000,4,399,Los Angeles,Central,East Los Angeles
2015,160001-200000,4,753,Los Angeles,Central,East Los Angeles
2015,200000-Max,3,402,Los Angeles,Central,East Los Angeles
2015,20001-40000,3,755,Los Angeles,Central,East Los Angeles
2015,400001-60000,4,776,Los Angeles,Central,East Los Angeles
2015,60001-80000,4,642,Los Angeles,Central,East Los Angeles
2015,80001-120000,4,493,Los Angeles,Central,East Los Angeles
2015,Negative Income,0,367,Los Angeles,Central,East Los Angeles
2015,No Income,3,555,Los Angeles,Central,East Los Angeles
2016,1-20000,2,635,Los Angeles,Central,East Los Angeles
2016,120001-160000,5,427,Los Angeles,Central,East Los Angeles
2016,160001-200000,3,48,Los Angeles,Central,East Los Angeles
2016,200000-Max,5,0,Los Angeles,Central,East Los Angeles
2016,20001-40000,3,754,Los Angeles,Central,East Los Angeles
2016,400001-60000,4,690,Los Angeles,Central,East Los Angeles
2016,60001-80000,4,514,Los Angeles,Central,East Los Angeles
2016,80001-120000,5,556,Los Angeles,Central,East Los Angeles
2016,Negative Income,0,352,Los Angeles,Central,East Los Angeles
2016,No Income,3,932,Los Angeles,Central,East Los Angeles
2017,1-20000,2,551,Los Angeles,Central,East Los Angeles
2017,120001-160000,6,240,Los Angeles,Central,East Los Angeles
2017,160001-200000,4,0,Los Angeles,Central,East Los Angeles
2017,200000-Max,5,0,Los Angeles,Central,East Los Angeles
2017,20001-40000,3,792,Los Angeles,Central,East Los Angeles
2017,400001-60000,4,860,Los Angeles,Central,East Los Angeles
2017,60001-80000,4,635,Los Angeles,Central,East Los Angeles
2017,80001-120000,4,685,Los Angeles,Central,East Los Angeles
2017,Negative Income,0,445,Los Angeles,Central,East Los Angeles
2017,No Income,2,880,Los Angeles,Central,East Los Angeles
2018,1-20000,2,634,Los Angeles,Central,East Los Angeles
2018,120001-160000,5,245,Los Angeles,Central,East Los Angeles
2018,160001-200000,7,1223,Los Angeles,Central,East Los Angeles
2018,200000-Max,5,156,Los Angeles,Central,East Los Angeles
2018,20001-40000,3,788,Los Angeles,Central,East Los Angeles
2018,400001-60000,3,614,Los Angeles,Central,East Los Angeles
2018,60001-80000,4,701,Los Angeles,Central,East Los Angeles
2018,80001-120000,4,804,Los Angeles,Central,East Los Angeles
2018,Negative Income,0,469,Los Angeles,Central,East Los Angeles
2018,No Income,2,713,Los Angeles,Central,East Los Angeles
2019,1-20000,2,682,Los Angeles,Central,East Los Angeles
2019,120001-160000,5,435,Los Angeles,Central,East Los Angeles
2019,160001-200000,5,662,Los Angeles,Central,East Los Angeles
2019,200000-Max,5,0,Los Angeles,Central,East Los Angeles
2019,20001-40000,3,784,Los Angeles,Central,East Los Angeles
2019,400001-60000,4,803,Los Angeles,Central,East Los Angeles
2019,60001-80000,4,733,Los Angeles,Central,East Los Angeles
2019,80001-120000,4,596,Los Angeles,Central,East Los Angeles
2019,Negative Income,0,440,Los Angeles,Central,East Los Angeles
2019,No Income,2,850,Los Angeles,Central,East Los Angeles
2015,1-20000,2,585,Los Angeles,Central,El Monte 
2015,120001-160000,4,465,Los Angeles,Central,El Monte 
2015,160001-200000,4,82,Los Angeles,Central,El Monte 
2015,200000-Max,3,136,Los Angeles,Central,El Monte 
2015,20001-40000,3,764,Los Angeles,Central,El Monte 
2015,400001-60000,4,762,Los Angeles,Central,El Monte 
2015,60001-80000,4,683,Los Angeles,Central,El Monte 
2015,80001-120000,5,635,Los Angeles,Central,El Monte 
2015,Negative Income,0,517,Los Angeles,Central,El Monte 
2015,No Income,1,395,Los Angeles,Central,El Monte 
2016,1-20000,3,673,Los Angeles,Central,El Monte 
2016,120001-160000,5,307,Los Angeles,Central,El Monte 
2016,160001-200000,3,267,Los Angeles,Central,El Monte 
2016,200000-Max,5,212,Los Angeles,Central,El Monte 
2016,20001-40000,3,763,Los Angeles,Central,El Monte 
2016,400001-60000,4,671,Los Angeles,Central,El Monte 
2016,60001-80000,5,742,Los Angeles,Central,El Monte 
2016,80001-120000,5,499,Los Angeles,Central,El Monte 
2016,Negative Income,0,265,Los Angeles,Central,El Monte 
2016,No Income,2,506,Los Angeles,Central,El Monte 
2017,1-20000,3,699,Los Angeles,Central,El Monte 
2017,120001-160000,5,105,Los Angeles,Central,El Monte 
2017,160001-200000,4,233,Los Angeles,Central,El Monte 
2017,200000-Max,5,0,Los Angeles,Central,El Monte 
2017,20001-40000,3,720,Los Angeles,Central,El Monte 
2017,400001-60000,4,714,Los Angeles,Central,El Monte 
2017,60001-80000,4,671,Los Angeles,Central,El Monte 
2017,80001-120000,5,555,Los Angeles,Central,El Monte 
2017,Negative Income,0,231,Los Angeles,Central,El Monte 
2017,No Income,1,480,Los Angeles,Central,El Monte 
2018,1-20000,2,855,Los Angeles,Central,El Monte 
2018,120001-160000,5,448,Los Angeles,Central,El Monte 
2018,160001-200000,3,78,Los Angeles,Central,El Monte 
2018,200000-Max,5,282,Los Angeles,Central,El Monte 
2018,20001-40000,3,823,Los Angeles,Central,El Monte 
2018,400001-60000,4,781,Los Angeles,Central,El Monte 
2018,60001-80000,4,674,Los Angeles,Central,El Monte 
2018,80001-120000,4,454,Los Angeles,Central,El Monte 
2018,Negative Income,0,272,Los Angeles,Central,El Monte 
2018,No Income,1,2,Los Angeles,Central,El Monte 
2019,1-20000,2,626,Los Angeles,Central,El Monte 
2019,120001-160000,5,698,Los Angeles,Central,El Monte 
2019,160001-200000,5,498,Los Angeles,Central,El Monte 
2019,200000-Max,5,0,Los Angeles,Central,El Monte 
2019,20001-40000,3,917,Los Angeles,Central,El Monte 
2019,400001-60000,3,817,Los Angeles,Central,El Monte 
2019,60001-80000,4,687,Los Angeles,Central,El Monte 
2019,80001-120000,4,716,Los Angeles,Central,El Monte 
2019,Negative Income,0,481,Los Angeles,Central,El Monte 
2019,No Income,3,1600,Los Angeles,Central,El Monte 
2015,1-20000,2,860,Los Angeles,Central,Glendale City
2015,120001-160000,3,622,Los Angeles,Central,Glendale City
2015,160001-200000,3,724,Los Angeles,Central,Glendale City
2015,200000-Max,3,273,Los Angeles,Central,Glendale City
2015,20001-40000,2,933,Los Angeles,Central,Glendale City
2015,400001-60000,2,867,Los Angeles,Central,Glendale City
2015,60001-80000,3,944,Los Angeles,Central,Glendale City
2015,80001-120000,3,1092,Los Angeles,Central,Glendale City
2015,Negative Income,0,754,Los Angeles,Central,Glendale City
2015,No Income,2,1122,Los Angeles,Central,Glendale City
2016,1-20000,2,1016,Los Angeles,Central,Glendale City
2016,120001-160000,3,847,Los Angeles,Central,Glendale City
2016,160001-200000,3,414,Los Angeles,Central,Glendale City
2016,200000-Max,3,616,Los Angeles,Central,Glendale City
2016,20001-40000,2,1029,Los Angeles,Central,Glendale City
2016,400001-60000,2,928,Los Angeles,Central,Glendale City
2016,60001-80000,2,949,Los Angeles,Central,Glendale City
2016,80001-120000,3,1005,Los Angeles,Central,Glendale City
2016,Negative Income,0,555,Los Angeles,Central,Glendale City
2016,No Income,2,959,Los Angeles,Central,Glendale City
2017,1-20000,2,988,Los Angeles,Central,Glendale City
2017,120001-160000,3,1103,Los Angeles,Central,Glendale City
2017,160001-200000,3,824,Los Angeles,Central,Glendale City
2017,200000-Max,4,367,Los Angeles,Central,Glendale City
2017,20001-40000,3,970,Los Angeles,Central,Glendale City
2017,400001-60000,3,1017,Los Angeles,Central,Glendale City
2017,60001-80000,3,945,Los Angeles,Central,Glendale City
2017,80001-120000,3,1059,Los Angeles,Central,Glendale City
2017,Negative Income,0,478,Los Angeles,Central,Glendale City
2017,No Income,1,1192,Los Angeles,Central,Glendale City
2018,1-20000,2,1052,Los Angeles,Central,Glendale City
2018,120001-160000,3,1091,Los Angeles,Central,Glendale City
2018,160001-200000,3,724,Los Angeles,Central,Glendale City
2018,200000-Max,3,531,Los Angeles,Central,Glendale City
2018,20001-40000,2,1231,Los Angeles,Central,Glendale City
2018,400001-60000,3,1125,Los Angeles,Central,Glendale City
2018,60001-80000,2,1195,Los Angeles,Central,Glendale City
2018,80001-120000,3,1076,Los Angeles,Central,Glendale City
2018,Negative Income,0,606,Los Angeles,Central,Glendale City
2018,No Income,2,1132,Los Angeles,Central,Glendale City
2019,1-20000,2,1097,Los Angeles,Central,Glendale City
2019,120001-160000,3,876,Los Angeles,Central,Glendale City
2019,160001-200000,3,683,Los Angeles,Central,Glendale City
2019,200000-Max,3,481,Los Angeles,Central,Glendale City
2019,20001-40000,2,1175,Los Angeles,Central,Glendale City
2019,400001-60000,2,1010,Los Angeles,Central,Glendale City
2019,60001-80000,3,1290,Los Angeles,Central,Glendale City
2019,80001-120000,3,1409,Los Angeles,Central,Glendale City
2019,Negative Income,0,689,Los Angeles,Central,Glendale City
2019,No Income,1,1515,Los Angeles,Central,Glendale City
2015,1-20000,3,585,Los Angeles,Central,Huntington Park City
2015,120001-160000,7,337,Los Angeles,Central,Huntington Park City
2015,160001-200000,6,593,Los Angeles,Central,Huntington Park City
2015,200000-Max,10,86,Los Angeles,Central,Huntington Park City
2015,20001-40000,3,696,Los Angeles,Central,Huntington Park City
2015,400001-60000,4,718,Los Angeles,Central,Huntington Park City
2015,60001-80000,4,623,Los Angeles,Central,Huntington Park City
2015,80001-120000,5,485,Los Angeles,Central,Huntington Park City
2015,Negative Income,0,382,Los Angeles,Central,Huntington Park City
2015,No Income,1,223,Los Angeles,Central,Huntington Park City
2016,1-20000,3,656,Los Angeles,Central,Huntington Park City
2016,120001-160000,6,277,Los Angeles,Central,Huntington Park City
2016,160001-200000,7,0,Los Angeles,Central,Huntington Park City
2016,200000-Max,2,317,Los Angeles,Central,Huntington Park City
2016,20001-40000,3,692,Los Angeles,Central,Huntington Park City
2016,400001-60000,4,647,Los Angeles,Central,Huntington Park City
2016,60001-80000,4,655,Los Angeles,Central,Huntington Park City
2016,80001-120000,5,460,Los Angeles,Central,Huntington Park City
2016,Negative Income,0,341,Los Angeles,Central,Huntington Park City
2016,No Income,2,1142,Los Angeles,Central,Huntington Park City
2017,1-20000,3,761,Los Angeles,Central,Huntington Park City
2017,120001-160000,6,540,Los Angeles,Central,Huntington Park City
2017,160001-200000,7,157,Los Angeles,Central,Huntington Park City
2017,200000-Max,5,0,Los Angeles,Central,Huntington Park City
2017,20001-40000,4,717,Los Angeles,Central,Huntington Park City
2017,400001-60000,4,653,Los Angeles,Central,Huntington Park City
2017,60001-80000,5,628,Los Angeles,Central,Huntington Park City
2017,80001-120000,5,466,Los Angeles,Central,Huntington Park City
2017,Negative Income,0,498,Los Angeles,Central,Huntington Park City
2017,No Income,2,564,Los Angeles,Central,Huntington Park City
2018,1-20000,2,681,Los Angeles,Central,Huntington Park City
2018,120001-160000,6,486,Los Angeles,Central,Huntington Park City
2018,160001-200000,7,439,Los Angeles,Central,Huntington Park City
2018,200000-Max,6,283,Los Angeles,Central,Huntington Park City
2018,20001-40000,3,794,Los Angeles,Central,Huntington Park City
2018,400001-60000,4,760,Los Angeles,Central,Huntington Park City
2018,60001-80000,4,851,Los Angeles,Central,Huntington Park City
2018,80001-120000,5,405,Los Angeles,Central,Huntington Park City
2018,Negative Income,0,591,Los Angeles,Central,Huntington Park City
2018,No Income,3,745,Los Angeles,Central,Huntington Park City
2019,1-20000,2,865,Los Angeles,Central,Huntington Park City
2019,120001-160000,6,574,Los Angeles,Central,Huntington Park City
2019,160001-200000,6,637,Los Angeles,Central,Huntington Park City
2019,200000-Max,5,211,Los Angeles,Central,Huntington Park City
2019,20001-40000,3,788,Los Angeles,Central,Huntington Park City
2019,400001-60000,4,959,Los Angeles,Central,Huntington Park City
2019,60001-80000,4,820,Los Angeles,Central,Huntington Park City
2019,80001-120000,5,504,Los Angeles,Central,Huntington Park City
2019,Negative Income,0,255,Los Angeles,Central,Huntington Park City
2019,No Income,1,975,Los Angeles,Central,Huntington Park City
2015,1-20000,2,701,Los Angeles,Central,Inglewood City
2015,120001-160000,4,277,Los Angeles,Central,Inglewood City
2015,160001-200000,7,104,Los Angeles,Central,Inglewood City
2015,200000-Max,4,0,Los Angeles,Central,Inglewood City
2015,20001-40000,3,804,Los Angeles,Central,Inglewood City
2015,400001-60000,3,726,Los Angeles,Central,Inglewood City
2015,60001-80000,3,699,Los Angeles,Central,Inglewood City
2015,80001-120000,3,549,Los Angeles,Central,Inglewood City
2015,Negative Income,0,93,Los Angeles,Central,Inglewood City
2015,No Income,2,795,Los Angeles,Central,Inglewood City
2016,1-20000,2,815,Los Angeles,Central,Inglewood City
2016,120001-160000,4,644,Los Angeles,Central,Inglewood City
2016,160001-200000,4,407,Los Angeles,Central,Inglewood City
2016,200000-Max,2,325,Los Angeles,Central,Inglewood City
2016,20001-40000,2,886,Los Angeles,Central,Inglewood City
2016,400001-60000,3,769,Los Angeles,Central,Inglewood City
2016,60001-80000,3,766,Los Angeles,Central,Inglewood City
2016,80001-120000,3,636,Los Angeles,Central,Inglewood City
2016,Negative Income,0,444,Los Angeles,Central,Inglewood City
2016,No Income,2,767,Los Angeles,Central,Inglewood City
2017,1-20000,2,730,Los Angeles,Central,Inglewood City
2017,120001-160000,3,666,Los Angeles,Central,Inglewood City
2017,160001-200000,4,300,Los Angeles,Central,Inglewood City
2017,200000-Max,4,771,Los Angeles,Central,Inglewood City
2017,20001-40000,2,947,Los Angeles,Central,Inglewood City
2017,400001-60000,3,726,Los Angeles,Central,Inglewood City
2017,60001-80000,3,791,Los Angeles,Central,Inglewood City
2017,80001-120000,3,666,Los Angeles,Central,Inglewood City
2017,Negative Income,0,161,Los Angeles,Central,Inglewood City
2017,No Income,4,1824,Los Angeles,Central,Inglewood City
2018,1-20000,2,771,Los Angeles,Central,Inglewood City
2018,120001-160000,4,336,Los Angeles,Central,Inglewood City
2018,160001-200000,4,374,Los Angeles,Central,Inglewood City
2018,200000-Max,4,261,Los Angeles,Central,Inglewood City
2018,20001-40000,2,906,Los Angeles,Central,Inglewood City
2018,400001-60000,3,936,Los Angeles,Central,Inglewood City
2018,60001-80000,2,1192,Los Angeles,Central,Inglewood City
2018,80001-120000,3,892,Los Angeles,Central,Inglewood City
2018,Negative Income,0,399,Los Angeles,Central,Inglewood City
2018,No Income,1,934,Los Angeles,Central,Inglewood City
2019,1-20000,2,979,Los Angeles,Central,Inglewood City
2019,120001-160000,4,804,Los Angeles,Central,Inglewood City
2019,160001-200000,4,574,Los Angeles,Central,Inglewood City
2019,200000-Max,4,282,Los Angeles,Central,Inglewood City
2019,20001-40000,2,1023,Los Angeles,Central,Inglewood City
2019,400001-60000,3,784,Los Angeles,Central,Inglewood City
2019,60001-80000,3,905,Los Angeles,Central,Inglewood City
2019,80001-120000,3,1125,Los Angeles,Central,Inglewood City
2019,Negative Income,0,309,Los Angeles,Central,Inglewood City
2019,No Income,2,1158,Los Angeles,Central,Inglewood City
2015,1-20000,2,856,Los Angeles,Central,LA City (Central/Koreatown)
2015,120001-160000,3,1513,Los Angeles,Central,LA City (Central/Koreatown)
2015,160001-200000,3,2351,Los Angeles,Central,LA City (Central/Koreatown)
2015,200000-Max,2,1641,Los Angeles,Central,LA City (Central/Koreatown)
2015,20001-40000,2,946,Los Angeles,Central,LA City (Central/Koreatown)
2015,400001-60000,2,1121,Los Angeles,Central,LA City (Central/Koreatown)
2015,60001-80000,2,1143,Los Angeles,Central,LA City (Central/Koreatown)
2015,80001-120000,3,942,Los Angeles,Central,LA City (Central/Koreatown)
2015,Negative Income,0,1110,Los Angeles,Central,LA City (Central/Koreatown)
2015,No Income,1,990,Los Angeles,Central,LA City (Central/Koreatown)
2016,1-20000,2,858,Los Angeles,Central,LA City (Central/Koreatown)
2016,120001-160000,2,1119,Los Angeles,Central,LA City (Central/Koreatown)
2016,160001-200000,3,1325,Los Angeles,Central,LA City (Central/Koreatown)
2016,200000-Max,2,1619,Los Angeles,Central,LA City (Central/Koreatown)
2016,20001-40000,2,1022,Los Angeles,Central,LA City (Central/Koreatown)
2016,400001-60000,3,1082,Los Angeles,Central,LA City (Central/Koreatown)
2016,60001-80000,3,1166,Los Angeles,Central,LA City (Central/Koreatown)
2016,80001-120000,2,1286,Los Angeles,Central,LA City (Central/Koreatown)
2016,Negative Income,0,1020,Los Angeles,Central,LA City (Central/Koreatown)
2016,No Income,2,1549,Los Angeles,Central,LA City (Central/Koreatown)
2017,1-20000,2,910,Los Angeles,Central,LA City (Central/Koreatown)
2017,120001-160000,3,1293,Los Angeles,Central,LA City (Central/Koreatown)
2017,160001-200000,3,1358,Los Angeles,Central,LA City (Central/Koreatown)
2017,200000-Max,3,1234,Los Angeles,Central,LA City (Central/Koreatown)
2017,20001-40000,2,1183,Los Angeles,Central,LA City (Central/Koreatown)
2017,400001-60000,3,1244,Los Angeles,Central,LA City (Central/Koreatown)
2017,60001-80000,3,1306,Los Angeles,Central,LA City (Central/Koreatown)
2017,80001-120000,3,1303,Los Angeles,Central,LA City (Central/Koreatown)
2017,Negative Income,0,835,Los Angeles,Central,LA City (Central/Koreatown)
2017,No Income,1,1935,Los Angeles,Central,LA City (Central/Koreatown)
2018,1-20000,2,891,Los Angeles,Central,LA City (Central/Koreatown)
2018,120001-160000,4,1592,Los Angeles,Central,LA City (Central/Koreatown)
2018,160001-200000,2,2006,Los Angeles,Central,LA City (Central/Koreatown)
2018,200000-Max,3,1155,Los Angeles,Central,LA City (Central/Koreatown)
2018,20001-40000,2,1144,Los Angeles,Central,LA City (Central/Koreatown)
2018,400001-60000,3,1232,Los Angeles,Central,LA City (Central/Koreatown)
2018,60001-80000,3,1198,Los Angeles,Central,LA City (Central/Koreatown)
2018,80001-120000,3,1486,Los Angeles,Central,LA City (Central/Koreatown)
2018,Negative Income,0,789,Los Angeles,Central,LA City (Central/Koreatown)
2018,No Income,1,1161,Los Angeles,Central,LA City (Central/Koreatown)
2019,1-20000,2,983,Los Angeles,Central,LA City (Central/Koreatown)
2019,120001-160000,3,1454,Los Angeles,Central,LA City (Central/Koreatown)
2019,160001-200000,2,1346,Los Angeles,Central,LA City (Central/Koreatown)
2019,200000-Max,3,1605,Los Angeles,Central,LA City (Central/Koreatown)
2019,20001-40000,2,1212,Los Angeles,Central,LA City (Central/Koreatown)
2019,400001-60000,2,1245,Los Angeles,Central,LA City (Central/Koreatown)
2019,60001-80000,3,1420,Los Angeles,Central,LA City (Central/Koreatown)
2019,80001-120000,3,1595,Los Angeles,Central,LA City (Central/Koreatown)
2019,Negative Income,0,768,Los Angeles,Central,LA City (Central/Koreatown)
2019,No Income,2,1576,Los Angeles,Central,LA City (Central/Koreatown)
2015,1-20000,1,900,Los Angeles,Central,LA City (Central/Pacific Palisades)
2015,120001-160000,2,1397,Los Angeles,Central,LA City (Central/Pacific Palisades)
